run_id,task,status,score,reason,duration_ms,timestamp
0b1e493a,query_expansion,done,,,1116,2026-06-01T04:45:39.467045
0b1e493a,web_search,done,,,9622,2026-06-01T04:45:49.090336
0b1e493a,summarize_sources,done,,,4911,2026-06-01T04:45:54.002931
0b1e493a,source_dropped,dropped,https://www.espn.com/espn/betting/story/_/id/48386952/espn-soccer-futbol-world-cup-betting-odds-championship-groups,not relevant to goal,0,2026-06-01T04:45:54.003681
0b1e493a,source_dropped,dropped,https://www.cbssports.com/soccer/news/fifa-world-cup-2026-odds-favorites-futures-picks-predictions-soccer-best-bets,not relevant to goal,0,2026-06-01T04:45:54.003954
0b1e493a,source_dropped,dropped,https://medium.com/@XT_com/world-cup-2026-power-rankings-top-teams-rising-contenders-whos-gaining-momentum-e1c2d9afa827,not relevant to goal,0,2026-06-01T04:45:54.004143
0b1e493a,source_dropped,dropped,https://www.facebook.com/groups/746775813892738/posts/1278717524031895,not relevant to goal,0,2026-06-01T04:45:54.004294
0b1e493a,source_dropped,dropped,https://www.espn.com/soccer/story/_/id/48677225/fifa-world-cup-power-rankings-spain-brazil-germany-england-argentina,skipped — over processing cap,0,2026-06-01T04:45:54.004407
d6e7e9e9,query_expansion,done,,,1031,2026-06-01T04:48:40.930186
d6e7e9e9,web_search,done,,,12438,2026-06-01T04:48:53.370879
d6e7e9e9,summarize_sources,done,,,8027,2026-06-01T04:49:01.399213
d6e7e9e9,source_dropped,dropped,https://www.espn.com/espn/betting/story/_/id/48386952/espn-soccer-futbol-world-cup-betting-odds-championship-groups,not relevant to goal,0,2026-06-01T04:49:01.400315
d6e7e9e9,source_dropped,dropped,https://bleacherreport.com/articles/25314362-fifa-world-cup-power-rankings,not relevant to goal,0,2026-06-01T04:49:01.400819
d6e7e9e9,source_dropped,dropped,https://www.espn.com/soccer/story/_/id/48677225/fifa-world-cup-power-rankings-spain-brazil-germany-england-argentina,skipped — over processing cap,0,2026-06-01T04:49:01.400980
98aa4a4b,query_expansion,done,,,1421,2026-06-01T04:57:15.889079
98aa4a4b,web_search,done,,,12556,2026-06-01T04:57:28.446252
98aa4a4b,summarize_sources,done,,,9772,2026-06-01T04:57:38.219638
98aa4a4b,source_dropped,dropped,https://worldfootball26.com/ai-world-cup-predictions-year-by-year-winners,skipped — over processing cap,0,2026-06-01T04:57:38.220602
